Id,SalePrice
2,124848.08265574471
4,260242.46079753377
6,201347.09086642737
7,204455.25832344173
17,191490.9454326224
18,310670.4434551764
22,168082.87473191222
27,119019.3618952791
31,115085.33364739016
36,165025.75155856973
39,320488.8658656383
40,251842.23795132502
42,302680.2034812995
46,213005.2984249583
53,173668.65326428993
58,183585.59953020926
61,343079.83274625416
72,212168.61940061854
79,132109.75894464753
80,213161.73264116977
82,167172.514583996
83,109157.79563114069
85,142407.66043468082
88,123778.8584354099
92,306904.11364744656
93,302823.72815813497
95,206418.74514764163
102,175500.82195982742
103,184549.29069678896
106,269182.5265693494
107,157214.7703998035
110,246256.61505599652
114,198639.43116032166
116,187671.36276376457
117,152956.4006397975
118,144924.3609782577
125,131876.9479125742
126,163483.39500502494
127,126290.23806068738
128,207525.23290617805
134,135424.12404651853
135,153691.90568924075
137,259832.5324014983
143,137790.95441561248
147,124700.19388967169
148,174205.37918405875
150,113919.47120173875
156,137013.86808079405
157,127402.16731700678
159,156646.79537365248
161,275812.8017583249
167,133179.69210290816
170,127186.84323950157
171,101784.00539894891
175,108462.59332228027
179,131334.13331102027
181,115651.48980442711
186,207215.26115222552
193,193545.01588796818
194,93914.4383632529
206,113408.00794875796
208,154445.0501337043
210,162243.52963239275
211,105524.90586521187
212,113177.23920444821
214,105359.62735710213
215,138021.47415661506
217,151517.67467482673
222,145846.98587439428
227,150299.19811628628
228,155932.9509859979
233,198748.56410265874
235,125788.3873192754
238,124865.88970677952
241,165247.9676285717
252,200761.83575205592
253,196021.27816005272
256,130007.39392514527
257,132324.44660446883
258,209158.3538233806
259,180902.97960394956
261,142469.12452239843
263,115170.43598578247
266,241739.04705823425
267,252986.67032287567
270,141991.56348463552
271,254106.31405487919
276,103229.3042711713
285,160674.60267256116
288,87370.39773068781
289,141033.19350710814
290,126636.85850491132
291,128433.70086801804
292,132059.48447712336
293,203551.6277586874
294,219210.94266856508
295,173717.1644176278
304,119043.16724079112
322,320617.85122324346
326,192838.56417322828
327,110585.41321070644
328,128707.87928863987
331,90935.08953995428
332,100172.80299066645
333,106849.94085977947
335,130651.39164205726
337,221527.25608326646
342,125996.57270191591
343,188457.20743589144
347,183180.8763763194
350,339132.637218698
352,215142.86047657247
358,176876.23079785338
359,177124.5421522783
360,173054.56265980823
368,323163.2796406703
369,218092.93431974066
373,198179.04954873782
377,256945.89395725168
383,189762.82945228234
386,253026.41799446777
387,251346.71146051417
390,175914.43168845202
391,162563.4915286029
395,151984.1997562688
397,130923.4905119338
398,118681.19631087546
401,115979.5800113078
404,132431.8839738279
408,129008.66014191015
409,140168.03002819992
410,168263.04945738713
418,139626.9915271081
422,419632.4029462187
427,370955.0428377365
431,400664.12169530307
433,494760.4608886247
437,325793.77344856283
438,274343.89295386354
442,333846.6250833745
447,220591.8136784668
459,336688.0208048582
460,265746.6140919695
464,188982.9822540574
465,195688.18047567853
467,180874.9879831894
468,174696.2367093807
474,193392.95901027575
480,201693.55367570295
481,202191.27237036996
483,229150.80170965855
488,205850.41746300797
492,194913.87582391757
494,178296.9042882886
499,326312.3475051304
500,289061.8913894318
501,307532.9947253588
503,262677.834701305
506,223751.50525479735
508,261128.60278942925
511,274790.19288298715
515,249738.98831346142
519,214207.28322749617
521,290869.25828140904
530,253258.55638707354
532,231448.19142337053
534,192952.48155553555
540,188913.76458737013
541,133129.58816846038
551,153763.34244068988
552,154272.58605583833
554,111592.7006560615
555,123422.5094250489
556,129463.57920769023
557,134026.60491196308
565,240994.75928892902
566,332787.89829974686
567,159127.84647426836
569,242840.47266393804
