Id,saleprice
2,127876.57873550247
4,259451.8125666038
6,202085.49222240038
7,210366.49085235194
17,196367.04674733875
18,309133.9958871072
22,166417.81669951184
27,122501.37398694125
31,118287.7235230979
36,164633.1688769099
39,318834.406188327
40,260211.82367086413
42,302626.58207027125
46,212885.4114981616
53,178452.2582287105
58,184504.8029109508
61,346603.7161364185
72,213029.1027595151
79,135912.5402859618
80,220541.00805605878
82,167238.79901390316
83,111360.15116483781
85,145327.65057399418
88,127038.79716721775
92,309812.6426697252
93,305326.3506755615
95,217123.7216148168
102,183114.2081435146
103,191574.54070247902
106,270683.31909699796
107,156704.21272518625
110,246944.65830869495
114,198030.5371090967
116,188211.4845902069
117,157505.79070586892
118,148397.68856309305
125,134600.0823719165
126,165384.2289232171
127,128844.83219473588
128,210899.5320034489
134,134556.97981406213
135,152239.99684654677
137,258532.09702570486
143,141377.72772917882
147,127594.12921603478
148,174180.06512931368
150,117205.96352482724
156,140397.79308221908
157,131600.38212355762
159,161028.1773994629
161,277511.81796407717
167,136677.9842061861
170,125846.59932872157
171,104046.91632466775
175,111208.47063680268
179,134606.44607286542
181,118000.27626342665
186,216816.3530517588
193,192542.44330483236
194,95956.02620894343
206,116187.37207409831
208,153267.61595933733
210,160746.49277142764
211,108326.44111822546
212,114798.09414658899
214,107427.41394640044
215,136745.2822386136
217,154281.30430356858
222,144549.64390642662
227,150983.79778708197
228,155137.12755602447
233,198740.02885930115
235,124050.62826546132
238,127084.56772851064
241,170171.77209744914
252,207706.1957247902
253,202794.03919671613
256,132542.6852874109
257,137241.07859910434
258,209752.79823102977
259,187739.4372909184
261,146893.12546897816
263,117721.95105973583
266,243648.2480740013
267,253559.56336291885
270,147106.27643973377
271,252413.70593505626
276,105937.49497251782
285,160057.28715368902
288,89584.88083678711
289,141085.40129146096
290,125808.67753072367
291,132786.02765842457
292,131523.0882477995
293,203280.83515526797
294,218679.7502524919
295,177870.57882246634
304,121349.84846625483
322,317029.5287968297
326,192719.99887494958
327,113617.96678240075
328,127970.34904043828
331,93596.8962594102
332,103055.6322448357
333,110249.51392092311
335,133545.09926592387
337,227641.34352111348
342,130479.39411391168
343,188139.6189512686
347,183482.12298042935
350,339367.73331893294
352,222039.45099684753
358,178041.48912974008
359,177498.76511226586
360,173269.62214103778
368,322720.2471430134
369,217106.80869200153
373,197385.77336358992
377,258215.30761048954
383,189229.99797768137
386,254828.22059087266
387,252933.56014585475
390,175557.55615884103
391,161678.28513637144
395,156187.62366216077
397,134505.90153622383
398,121771.59708633035
401,119392.15118178837
404,136595.22429771727
408,132780.36482765203
409,144689.66549014975
410,167975.8581811078
418,143094.22264125358
422,421483.8873637078
427,371641.7375161303
431,399243.97099737584
433,494359.2779132098
437,324830.92555560597
438,273447.72674083855
442,334455.1653911621
447,227847.4147858522
459,338375.99255386257
460,266240.96895908425
464,196775.4989138766
465,197172.0621485745
467,181355.4119482164
468,175695.25408479158
474,194414.9172696016
480,201716.68970440273
481,202512.13081564734
483,229910.28563548689
488,207394.67768593607
492,196230.6006916709
494,179324.64969634457
499,330157.51725299406
500,292495.6006721342
501,307123.79308977234
503,264784.93124590523
506,225083.61529646217
508,268673.1573145501
511,274467.11418103817
515,252060.22868777887
519,220408.62838882636
521,289549.38030371413
530,255131.30955857784
532,239524.93992301103
534,199360.1479937884
540,194761.93945584717
541,136871.85071635645
551,158860.43847794432
552,155272.4914504407
554,115034.85714258993
555,127204.61345767567
556,132570.2130903625
557,137522.28222620138
565,241885.10468756768
566,337709.2240137135
567,165425.58364691638
569,244562.28921827127
570,202131.2962289642
574,234154.08591057183
575,278051.82540187676
576,188450.97675475304
577,206756.28074777446
578,243241.13632010043
583,223920.8419743857
584,211792.4626366439
585,167630.87750161154
587,183162.1262486492
593,227066.55583119087
597,218925.7569866182
598,157596.65076808564
599,164264.30540414347
600,114920.80763074786
605,183999.68177759222
607,170739.52486027483
608,156063.57065368004
611,158597.2733870083
616,126446.02233577272
625,172322.89698364906
629,180966.65584374027
630,140958.8719104841
631,131354.8443811915
640,168756.17792929278
642,179172.47416146603
643,130798.80692694981
646,121943.40487721529
647,157421.92022415475
655,96238.98360699994
659,118728.88174859616
663,73385.54391504376
665,107727.21184260532
667,231672.16468086754
673,145704.83133151193
676,121995.72700762065
680,158708.4439762468
682,130956.67017844737
687,163906.19023602034
688,159030.28647587873
692,131962.46163971824
693,116990.7969793017
695,141425.38334908333
697,119289.36501904295
700,166475.89973657974
702,147324.43868024673
703,153630.4470734629
704,109499.36368973834
712,100690.69998154677
713,111625.11470443277
717,248106.6338929676
720,177651.31562676205
721,87919.16237992229
726,151469.9660191033
733,118406.08861440196
736,138155.99408246274
738,104412.43462908981
741,138361.59018779168
743,73258.66235058461
745,118741.59453786511
750,152265.92120066943
756,109704.70294628484
757,136492.4026147369
758,162273.4895536926
760,89701.1686565734
765,135651.8740228623
775,125825.7581926976
776,122692.3111170421
780,152154.9369973741
783,171488.44565546364
790,124659.83078554417
795,89326.68099649191
796,130865.51571514602
797,159567.00688720323
798,111304.89409499776
804,218357.40739954857
805,247184.7586525078
806,253832.93213559364
808,120920.90541732413
814,153532.44149095233
818,365179.4063775843
821,269806.5031069026
822,305301.76038066135
825,279592.3917377998
827,259058.64979443874
830,197150.5248548396
834,226473.48724561615
835,190447.94730803638
842,149169.92313950628
845,205992.94255606932
852,213809.7858934612
857,132865.54020240068
858,138665.58516231307
859,120826.53144261656
860,121301.38460038438
861,118886.19429550601
864,264166.49676430784
868,210158.30748093445
869,231980.2978118021
872,271849.57680039835
873,203836.84825953405
885,110373.78628236597
890,129684.2645742506
895,106328.29188674351
899,83903.1576059025
906,123480.02853951899
918,135171.79497216266
923,145500.85516760463
925,121982.50606224206
927,125934.29666843626
932,188605.72923212295
933,143249.9275143471
934,149301.21821817147
942,97129.00732494428
947,278333.6709747576
948,276857.4507580249
951,142451.08203702167
957,233499.28258542827
958,297350.6943035165
959,205348.62982425926
963,179401.18459479226
967,227716.2855302192
968,313048.6953373547
971,128776.84802805285
972,180765.5556945103
976,101151.00176751136
978,95229.17193083516
979,118293.6118649702
984,116523.9851031424
986,158398.92585341097
991,195515.89893162958
996,184359.09032973673
1001,236909.68447048118
1007,213314.92715443243
1008,180556.49664779197
1009,200059.8713560362
1014,170228.0445368988
1022,247560.3265056198
1024,166256.03260769867
1027,133025.4716999249
1030,179055.3912577113
1032,159250.36089826596
1035,148683.40321190056
1042,136164.51355150226
1047,149748.588252837
1050,114090.87253544731
1055,280504.18669591343
1059,405664.51564708486
1061,346787.36282630794
1064,436496.90058061667
1077,231093.4328120269
1081,221209.79656981034
1092,225647.40111686726
1093,204846.2733730978
1095,192871.7369169709
1099,269189.7680356725
1101,286795.70129400434
1103,314205.0834057974
1109,265810.9771058183
1112,208022.6035497209
1113,276188.3174593813
1114,236378.7512176391
1116,273280.8890153941
1117,215248.0321507318
1119,268707.4009712859
1121,237139.8033204368
1122,209715.74300498213
1125,264391.24830791325
1137,175368.82683117347
1142,224318.68914167574
1144,200377.46446983193
1145,204987.06920591896
1147,189759.3636749157
1148,223552.3814559792
1149,173706.72462363256
1150,134326.81045432028
1153,113417.67993497818
1154,113292.02039830026
1159,372150.7717990497
1161,188665.4006015215
1167,177911.91872687015
1171,260555.82752050905
1174,190200.1416176196
1188,191013.61034175614
1189,177751.25370665014
1191,166502.16993797864
1195,146557.28050616136
1199,171916.01062480363
1201,185285.91080192514
1204,194086.6328864977
1211,159029.16875583678
1214,153106.44577586494
1219,145393.19742504004
1220,74584.21000427453
1227,159047.25865788516
1229,182717.90651993538
1231,133107.19930607438
1234,209656.32468979695
1235,122437.96989024796
1239,163620.9052975371
1240,157144.5045689984
1241,191850.19786467543
1246,112353.14088065134
1249,171759.19346557843
1250,123151.51547139144
1252,129913.94615150693
1259,167450.41662059308
1267,105500.62968318169
1269,95535.6483224542
1270,140780.02024287378
1272,121217.57076440153
1274,146564.97786294803
1276,123704.76070613392
1279,129843.43461434817
1281,169074.00908641017
1286,148554.99957768002
1287,137742.94747952864
1290,101060.91279627162
1291,139068.2808619616
1297,156729.79349858392
1302,147867.2056031512
1303,73282.2880986194
1312,109076.79789816098
1315,127853.3669173116
